Results for model EVA02-E-14-plus - laion2b_s9b_b144k:
Top-28 Precision: 0.03474399164054301 	 Recall: 0.9728317659352143 	 Accuracy: 0.9728317659352143
Top-29 Precision: 0.03369005152596167 	 Recall: 0.9770114942528736 	 Accuracy: 0.9770114942528736
Top-30 Precision: 0.03256704980842986 	 Recall: 0.9770114942528736 	 Accuracy: 0.9770114942528736
Top-31 Precision: 0.03158391478747409 	 Recall: 0.9791013584117032 	 Accuracy: 0.9791013584117032
Top-32 Precision: 0.030662225705329154 	 Recall: 0.9811912225705329 	 Accuracy: 0.9811912225705329
Top-33 Precision: 0.029764731959089928 	 Recall: 0.9822361546499477 	 Accuracy: 0.9822361546499477
Top-34 Precision: 0.02892003196262895 	 Recall: 0.9832810867293625 	 Accuracy: 0.9832810867293625
Top-35 Precision: 0.028153455739662544 	 Recall: 0.9853709508881923 	 Accuracy: 0.9853709508881923
Top-36 Precision: 0.027458492975734872 	 Recall: 0.9885057471264368 	 Accuracy: 0.9885057471264368
Top-37 Precision: 0.026744612951509705 	 Recall: 0.9895506792058516 	 Accuracy: 0.9895506792058516
Top-38 Precision: 0.02604080734752288 	 Recall: 0.9895506792058516 	 Accuracy: 0.9895506792058516
Top-39 Precision: 0.02542668059909431 	 Recall: 0.9916405433646813 	 Accuracy: 0.9916405433646813
Top-40 Precision: 0.02484326018808748 	 Recall: 0.9937304075235109 	 Accuracy: 0.9937304075235109
Top-41 Precision: 0.024237327012768005 	 Recall: 0.9937304075235109 	 Accuracy: 0.9937304075235109
Top-42 Precision: 0.02366024779817927 	 Recall: 0.9937304075235109 	 Accuracy: 0.9937304075235109
Top-43 Precision: 0.023158610969356303 	 Recall: 0.9958202716823407 	 Accuracy: 0.9958202716823407
Top-44 Precision: 0.022656027358222093 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-45 Precision: 0.022175780796470382 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-46 Precision: 0.02171641452001259 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-47 Precision: 0.021254363147246262 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-48 Precision: 0.020811563915012148 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-49 Precision: 0.020386838120828296 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-50 Precision: 0.019999999999999667 	 Recall: 1.0 	 Accuracy: 1.0

Results for model xlm-roberta-large-ViT-H-14 - frozen_laion5b_s13b_b90k:
Top-1 Precision: 0.2727272727272727 	 Recall: 0.2727272727272727 	 Accuracy: 0.2727272727272727
Top-2 Precision: 0.23772204806687566 	 Recall: 0.4754440961337513 	 Accuracy: 0.4754440961337513
Top-3 Precision: 0.18739115290839503 	 Recall: 0.5621734587251829 	 Accuracy: 0.5621734587251829
Top-4 Precision: 0.15830721003134796 	 Recall: 0.6332288401253918 	 Accuracy: 0.6332288401253918
Top-5 Precision: 0.13333333333333466 	 Recall: 0.6666666666666666 	 Accuracy: 0.6666666666666666
Top-6 Precision: 0.11790316962730862 	 Recall: 0.7074190177638453 	 Accuracy: 0.7074190177638453
Top-7 Precision: 0.10583669204358812 	 Recall: 0.7408568443051202 	 Accuracy: 0.7408568443051202
Top-8 Precision: 0.09600313479623825 	 Recall: 0.768025078369906 	 Accuracy: 0.768025078369906
Top-9 Precision: 0.0880065017996067 	 Recall: 0.7920585161964472 	 Accuracy: 0.7920585161964472
Top-10 Precision: 0.08171368861024016 	 Recall: 0.8171368861024033 	 Accuracy: 0.8171368861024033
Top-11 Precision: 0.07656502327348833 	 Recall: 0.8422152560083594 	 Accuracy: 0.8422152560083594
